,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4
,,MISSION_PX,MISSION_PY,MISSION_PZ,MISSION_MX,MISSION_MY,MISSION_MZ,BUS_PX,BUS_PY,BUS_PZ,BUS_MX,BUS_MY,BUS_MZ,PANEL_PX,PANEL_PY,PANEL_PZ,PANEL_MX,PANEL_MY,PANEL_MZ,SPACE
1,MISSION_PX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,MISSION_PY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,MISSION_PZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,MISSION_MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,MISSION_MY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,MISSION_MZ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,BUS_PX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,BUS_PY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,BUS_PZ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BUS_MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,BUS_MY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,BUS_MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,PANEL_PX,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1
3,PANEL_PY,0,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1
3,PANEL_PZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,PANEL_MX,0,0,0,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,1
3,PANEL_MY,0,0,0,0,0.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,1
3,PANEL_MZ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
